0.02,0.1,0.5,1,5,5n,compound
0.0258825,0.101721,0.528729,0.02651,0.00143,0.00252,PBS
0.0270532,0.109097,0.556707,3.08491,0.00145,0.0025,PBS
0.000122057,0.116105,0.603682,3.72573,0.00148,0.00251,PBS
0.271405,0.122822,0.634646,0.46535,0.00151,0.00257,PBS
0.0049518,0.128278,0.068953,5.88406,0.00153,0.00286,PBS
0.0284102,0.133045,0.741941,7.32421,0.00153,0.00323,PBS
0.0152837,0.140697,0.788454,8.75956,0.00144,0.00351,PBS
0.0183211,0.149074,0.850555,9.72284,0.00154,0.00377,PBS
0.0193909,0.015638,0.899441,10.4513,0.00162,0.00401,PBS
0.0223341,0.163134,0.948447,10.9455,0.00173,0.00434,PBS
0.0241717,0.169685,1.01747,11.2686,0.00189,0.00467,PBS
0.0252742,0.175949,1.24629,11.3663,0.0021,0.00505,PBS
0.0264805,0.181997,1.15676,11.5382,0.00238,0.00561,PBS
0.0276591,0.187826,0.12321,11.7425,0.00273,0.00608,PBS
0.0287923,0.193446,1.30788,11.9847,0.00356,0.00657,PBS
0.0030014,0.198818,1.38575,12.3034,0.00401,0.00715,PBS
0.0312433,0.204504,1.46636,12.6968,0.00508,0.00762,PBS
0.0324288,0.209654,1.54376,13.1903,0.00571,0.00819,PBS
0.0336932,0.214315,1.62193,13.7753,0.00606,0.00884,PBS
0.0346335,0.218467,1.69996,14.4456,0.00654,0.00951,PBS
0.0035918,0.228739,1.77791,15.1823,0.00707,0.01028,PBS
0.0370249,0.023259,1.85415,15.9616,0.00763,0.01118,PBS
0.0382053,0.238549,1.92982,16.7707,0.00823,0.01198,PBS
0.0393776,0.024195,2.00358,17.5774,0.00884,0.01281,PBS
0.0392033,0.244736,2.07519,18.3656,0.00965,0.01367,PBS
0.0040776,0.246976,2.14697,19.1211,0.01026,0.01478,PBS
0.0426507,0.248661,2.21685,19.8217,0.01091,0.01562,PBS
0.0443629,0.024978,2.28689,20.4233,0.0115,0.01646,PBS
0.0447073,0.250632,2.35877,20.9184,0.01221,0.01732,PBS
0.0046378,0.250231,2.43169,19.5394,0.01301,0.0183,PBS
0.0480233,0.247835,2.50897,19.7293,0.01379,0.01924,PBS
0.0493969,0.244506,2.59016,20.1938,0.01464,0.0202,PBS
0.0504507,0.241189,2.68305,20.5536,0.01548,0.02132,PBS
0.0521689,0.238211,2.78524,20.7717,0.01624,0.02227,PBS
0.0533856,0.239347,2.90512,20.7976,0.01699,0.02323,PBS
0.0578651,0.242109,0.26168,16.0177,0.01637,0.02253,PBS
0.0570924,0.241491,2.41505,12.6077,0.0158,0.02188,PBS
0.0552359,0.240083,2.24485,10.1319,0.01529,0.02114,PBS
0.0053354,0.238292,2.10177,8.30687,0.01475,0.02048,PBS
0.0511719,0.236246,1.97744,0.68724,0.01418,0.01979,PBS
0.0493565,0.023362,0.18679,5.86662,0.01376,0.01921,PBS
0.0471172,0.230775,1.77046,5.09374,0.01327,0.0184,PBS
0.0046122,0.227789,1.68243,4.49052,0.01273,0.01757,PBS
0.0437206,0.224493,1.60037,4.01103,0.01217,0.01675,PBS
0.0416231,0.220865,1.52502,3.62253,0.01162,0.01593,PBS
0.0397571,0.216396,1.45369,3.30497,0.01102,0.0151,PBS
0.0377497,0.211709,1.38571,3.03596,0.01044,0.01437,PBS
0.0361818,0.204328,1.32109,2.78845,0.00985,0.01367,PBS
0.0343315,0.199145,1.25707,2.56509,0.00927,0.01284,PBS
0.0322998,0.193967,1.19719,2.35272,0.00869,0.01205,PBS
0.0303762,0.188333,1.13785,0.21457,0.00819,0.0112,PBS
0.0281401,0.182522,1.08038,1.94712,0.0076,0.01044,PBS
0.0262146,0.176529,1.02462,1.75447,0.007,0.0097,PBS
0.0245912,0.017109,1.13712,1.57587,0.00642,0.00895,PBS
0.0228769,0.164868,0.0000105,1.39675,0.00584,0.00823,PBS
0.0209596,0.158601,0.859037,1.22191,0.00528,0.00752,PBS
0.0195235,0.152348,0.800103,1.05524,0.00474,0.00684,PBS
0.0178038,0.146194,0.753745,0.999315,0.00422,0.00624,PBS
0.0161908,0.140022,0.699932,0.742226,0.00375,0.00563,PBS
0.0179935,0.133937,0.654697,0.601541,0.00331,0.00508,PBS
0.0136774,0.129418,0.607192,0.479141,0.00293,0.00461,PBS
0.0114235,0.123256,0.554553,0.372182,0.00264,0.00411,PBS
0.0101524,0.116991,0.507236,0.280109,0.00248,0.00364,PBS
0.0302134,0.110674,0.472328,0.214076,0.00244,0.0032,PBS
0.00142432,0.104554,0.413708,0.128125,0.00241,0.00276,PBS
0.00087484,0.0098705,0.366029,0.0151056,0.00228,0.00233,PBS
0.00672852,0.0931069,0.318468,-0.0012086,0.002,0.00193,PBS
0.00022315,0.0877686,0.274858,-0.0296053,0.00165,0.00161,PBS
0.000106065,0.0081631,0.230019,-0.336475,0.00133,0.00135,PBS
